"filename", "language", "XML", "JSON", "C#", "JSON with Comments", "Markdown", "TypeScript", "CSS", "HTML", "YAML", "comment", "blank", "total"
"c:\Users\USER\Documents\GitHub\MainDietitianProjectRepo\API\Repositories\IRepositories\ITemplateRepository.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\USER\Documents\GitHub\MainDietitianProjectRepo\API\Repositories\IRepositories\IUserRepository.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 6, 16
"c:\Users\USER\Documents\GitHub\MainDietitianProjectRepo\API\Repositories\MetricsRepository.cs", "C#", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 12, 64
"c:\Users\USER\Documents\GitHub\MainDietitianProjectRepo\API\Repositories\NoteRepository.cs", "C#", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 9, 55
"c:\Users\USER\Documents\GitHub\MainDietitianProjectRepo\API\Repositories\RecipeRepository.cs", "C#", 0, 0, 40, 0, 0, 0, 0, 0, 0, 4, 13, 57
"c:\Users\USER\Documents\GitHub\MainDietitianProjectRepo\API\Repositories\ReportRepository.cs", "C#", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 18, 79
"c:\Users\USER\Documents\GitHub\MainDietitianProjectRepo\API\Repositories\ReviewRepository.cs", "C#", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 12, 63
"c:\Users\USER\Documents\GitHub\MainDietitianProjectRepo\API\Repositories\TemplateRepository.cs", "C#", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 6, 47
"c:\Users\USER\Documents\GitHub\MainDietitianProjectRepo\API\Repositories\UserRepository.cs", "C#", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 8, 33
"c:\Users\USER\Documents\GitHub\MainDietitianProjectRepo\API\Security\JwtOptions.cs", "C#", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\USER\Documents\GitHub\MainDietitianProjectRepo\API\Security\JwtService.cs", "C#", 0, 0, 39, 0, 0, 0, 0, 0, 0, 1, 9, 49
"c:\Users\USER\Documents\GitHub\MainDietitianProjectRepo\API\Services\AdviceService.cs", "C#", 0, 0, 153, 0, 0, 0, 0, 0, 0, 23, 30, 206
"c:\Users\USER\Documents\GitHub\MainDietitianProjectRepo\API\Services\AppointmentService.cs", "C#", 0, 0, 103, 0, 0, 0, 0, 0, 0, 4, 23, 130
"c:\Users\USER\Documents\GitHub\MainDietitianProjectRepo\API\Services\ArticleService.cs", "C#", 0, 0, 148, 0, 0, 0, 0, 0, 0, 0, 22, 170
"c:\Users\USER\Documents\GitHub\MainDietitianProjectRepo\API\Services\DataBackupAndRestoreService.cs", "C#", 0, 0, 312, 0, 0, 0, 0, 0, 0, 26, 45, 383
"c:\Users\USER\Documents\GitHub\MainDietitianProjectRepo\API\Services\DietService.cs", "C#", 0, 0, 280, 0, 0, 0, 0, 0, 0, 22, 65, 367
"c:\Users\USER\Documents\GitHub\MainDietitianProjectRepo\API\Services\DietTypesService.cs", "C#", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\USER\Documents\GitHub\MainDietitianProjectRepo\API\Services\IServices\IAdviceService.cs", "C#", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\USER\Documents\GitHub\MainDietitianProjectRepo\API\Services\IServices\IAppointmentService.cs", "C#", 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 1, 14
"c:\Users\USER\Documents\GitHub\MainDietitianProjectRepo\API\Services\IServices\IArticleService.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\USER\Documents\GitHub\MainDietitianProjectRepo\API\Services\IServices\IDataBackupAndRestoreService.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\USER\Documents\GitHub\MainDietitianProjectRepo\API\Services\IServices\IDietService.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
